date,open,high,low,close,volume,turnover,log_return,is_extreme,code,name
2020-01-02,1971.89,2007.42,1960.04,1997.94,153023187.0,2571196482.0,,False,000001,平安银行
2020-01-03,2006.23,2050.05,2003.86,2034.66,111619481.0,1914495475.0,0.018212079023283156,False,000001,平安银行
2020-01-06,2014.52,2053.61,2002.68,2021.63,86208350.0,1477930193.0,-0.00642461205605861,False,000001,平安银行
2020-01-07,2028.74,2046.5,2007.42,2031.1,72860756.0,1247047135.0,0.004673401502657018,False,000001,平安银行
2020-01-08,2013.34,2019.26,1969.52,1973.07,84782412.0,1423608811.0,-0.02898681283814674,False,000001,平安银行
2020-01-09,1990.84,2005.05,1957.68,1988.47,103163665.0,1725326806.0,0.007774793425840389,False,000001,平安银行
2020-01-10,1988.47,1990.84,1956.49,1976.63,58554845.0,975154819.0,-0.0059721243805696675,False,000001,平安银行
2020-01-13,1983.73,2016.89,1967.15,2012.15,87213336.0,1468271684.0,0.01781042772004942,False,000001,平安银行
2020-01-14,2012.15,2045.32,1984.92,1984.92,130449366.0,2217608853.0,-0.013625191082483097,False,000001,平安银行
2020-01-15,1988.47,1996.76,1948.2,1956.49,85943912.0,1424889228.0,-0.014426559572626846,False,000001,平安银行
2020-01-16,1956.49,1962.41,1918.59,1933.99,102810467.0,1678888508.0,-0.01156682510044834,False,000001,平安银行
2020-01-17,1939.91,1960.04,1936.36,1941.1,60543669.0,995909007.0,0.0036695963079906523,False,000001,平安银行
2020-01-20,1945.83,1967.15,1936.36,1948.2,74607475.0,1226464650.0,0.003651046659809753,False,000001,平安银行
2020-01-21,1935.17,1935.17,1886.62,1894.91,89660310.0,1442171432.0,-0.02773452535186985,False,000001,平安银行
2020-01-22,1885.43,1913.86,1860.56,1905.57,71946491.0,1150933399.0,0.00560983241907886,False,000001,平安银行
2020-01-23,1885.43,1885.43,1822.66,1840.43,110059207.0,1723394337.0,-0.03478193645143438,False,000001,平安银行
2020-02-03,1656.86,1740.95,1656.86,1656.86,225919483.0,3201454165.0,-0.10507499513779672,False,000001,平安银行
2020-02-04,1663.97,1736.21,1660.41,1729.1,170617207.0,2442932843.0,0.04267679709591043,False,000001,平安银行
2020-02-05,1727.92,1763.45,1695.94,1732.66,149138021.0,2177632044.0,0.002056757981474966,False,000001,平安银行
2020-02-06,1753.97,1761.08,1718.44,1749.24,118581572.0,1740107625.0,0.009523607981703094,False,000001,平安银行
2020-02-07,1729.1,1739.76,1706.6,1731.47,92485296.0,1345053256.0,-0.010210649199445709,False,000001,平安银行
2020-02-10,1718.44,1720.81,1693.57,1717.26,133949524.0,1931983482.0,-0.008240761333500638,False,000001,平安银行
