date,code,name,open,close,high,low,volume,turnover,log_return,is_extreme,idx_close,idx_log_return,cpi_yoy,industry
2020-01-02,000001,平安银行,1971.89,1997.94,2007.42,1960.04,153023187.0,2571196482.0,,False,4152.241,,,银行
2020-01-03,000001,平安银行,2006.23,2034.66,2050.05,2003.86,111619481.0,1914495475.0,0.018212079023283156,False,4144.965,-0.0017538438517885827,,银行
2020-01-06,000001,平安银行,2014.52,2021.63,2053.61,2002.68,86208350.0,1477930193.0,-0.00642461205605861,False,4129.295,-0.003787654420795644,,银行
2020-01-07,000001,平安银行,2028.74,2031.1,2046.5,2007.42,72860756.0,1247047135.0,0.004673401502657018,False,4160.227,0.0074629498696334486,,银行
2020-01-08,000001,平安银行,2013.34,1973.07,2019.26,1969.52,84782412.0,1423608811.0,-0.02898681283814674,False,4112.317,-0.011583023470962453,,银行
2020-01-09,000001,平安银行,1990.84,1988.47,2005.05,1957.68,103163665.0,1725326806.0,0.007774793425840389,False,4164.37,0.012578387052420198,,银行
2020-01-10,000001,平安银行,1988.47,1976.63,1990.84,1956.49,58554845.0,975154819.0,-0.0059721243805696675,False,4163.185,-0.0002845973417161902,,银行
2020-01-13,000001,平安银行,1983.73,2012.15,2016.89,1967.15,87213336.0,1468271684.0,0.01781042772004942,False,4203.988,0.009753192254408884,,银行
2020-01-14,000001,平安银行,2012.15,1984.92,2045.32,1984.92,130449366.0,2217608853.0,-0.013625191082483097,False,4189.886,-0.0033600726595926144,,银行
2020-01-15,000001,平安银行,1988.47,1956.49,1996.76,1948.2,85943912.0,1424889228.0,-0.014426559572626846,False,4166.734,-0.005541010417105987,,银行
2020-01-16,000001,平安银行,1956.49,1933.99,1962.41,1918.59,102810467.0,1678888508.0,-0.01156682510044834,False,4149.043,-0.004254810269430091,,银行
2020-01-17,000001,平安银行,1939.91,1941.1,1960.04,1936.36,60543669.0,995909007.0,0.0036695963079906523,False,4154.853,0.001399343380041611,,银行
2020-01-20,000001,平安银行,1945.83,1948.2,1967.15,1936.36,74607475.0,1226464650.0,0.003651046659809753,False,4185.83,0.007427963016599622,,银行
2020-01-21,000001,平安银行,1935.17,1894.91,1935.17,1886.62,89660310.0,1442171432.0,-0.02773452535186985,False,4114.309,-0.017234113843992385,,银行
2020-01-22,000001,平安银行,1885.43,1905.57,1913.86,1860.56,71946491.0,1150933399.0,0.00560983241907886,False,4131.931,0.004273954390029835,,银行
2020-01-23,000001,平安银行,1885.43,1840.43,1885.43,1822.66,110059207.0,1723394337.0,-0.03478193645143438,False,4003.901,-0.03147571631024872,,银行
2020-02-03,000001,平安银行,1656.86,1656.86,1740.95,1656.86,225919483.0,3201454165.0,-0.10507499513779672,False,3688.358,-0.08208776330585395,,银行
2020-02-04,000001,平安银行,1663.97,1729.1,1736.21,1660.41,170617207.0,2442932843.0,0.04267679709591043,False,3785.638,0.026033060223713655,,银行
2020-02-05,000001,平安银行,1727.92,1732.66,1763.45,1695.94,149138021.0,2177632044.0,0.002056757981474966,False,3828.527,0.01126570112611922,,银行
2020-02-06,000001,平安银行,1753.97,1749.24,1761.08,1718.44,118581572.0,1740107625.0,0.009523607981703094,False,3899.775,0.01843872524709007,,银行
2020-02-07,000001,平安银行,1729.1,1731.47,1739.76,1706.6,92485296.0,1345053256.0,-0.010210649199445709,False,3899.869,2.4103664219655947e-05,,银行
2020-02-10,000001,平安银行,1718.44,1717.26,1720.81,1693.57,133949524.0,1931983482.0,-0.008240761333500638,False,3916.005,0.004129038652660548,,银行
2020-02-11,000001,平安银行,1729.1,1751.61,1769.37,1724.37,140750744.0,2077194139.0,0.019805367635968147,False,3952.464,0.009267180420094315,,银行
2020-02-12,000001,平安银行,1751.61,1749.24,1755.16,1729.1,107050321.0,1573229043.0,-0.0013539571030217546,False,3984.433,0.0080558366549316,,银行
