date,open,high,low,close,volume,turnover
2020-01-02,337.41,344.18,332.9,333.51,100291514.0,1646850282.0
2020-01-03,335.98,335.98,323.05,327.16,107482373.0,1713539324.0
2020-01-06,324.08,324.28,318.95,321.62,126336546.0,1978819740.0
2020-01-07,322.44,324.49,319.57,323.87,85522490.0,1341480550.0
2020-01-08,319.98,320.59,316.08,318.34,88280529.0,1370722664.0
2020-01-09,331.87,336.39,327.36,333.92,194617667.0,3150781873.0
2020-01-10,334.33,335.15,326.13,328.59,95677137.0,1538891916.0
2020-01-13,330.03,338.85,329.62,338.03,90169930.0,1471326840.0
2020-01-14,338.44,340.28,333.72,335.36,59886642.0,980331765.0
2020-01-15,335.36,337.0,329.41,330.85,54985270.0,889417410.0
2020-01-16,331.46,333.92,327.98,328.8,62351564.0,1002815210.0
2020-01-17,330.23,332.9,327.98,330.64,47033226.0,756916800.0
2020-01-20,330.64,331.67,324.08,327.77,58488755.0,931786544.0
2020-01-21,324.49,325.72,316.49,316.9,91010838.0,1416707757.0
2020-01-22,316.69,326.33,313.41,325.51,96210885.0,1510291460.0
2020-01-23,320.18,323.05,312.39,314.44,82177127.0,1269876631.0
2020-02-03,285.11,292.08,283.06,286.75,182050954.0,2551879289.0
2020-02-04,289.21,294.95,284.29,293.52,111986793.0,1580250913.0
2020-02-05,291.26,299.88,288.8,297.0,116900955.0,1680553421.0
2020-02-06,299.26,301.11,293.31,298.44,103926556.0,1502684318.0
2020-02-07,294.75,297.41,291.26,295.36,68873215.0,986294728.0
2020-02-10,291.06,307.67,289.82,304.18,111229579.0,1628239096.0
2020-02-11,301.72,312.8,301.52,307.05,84994830.0,1279273434.0
2020-02-12,304.18,309.31,302.54,305.82,64811582.0,965030924.0
2020-02-13,310.13,319.57,309.93,315.67,109993538.0,1697335231.0
2020-02-14,316.9,327.16,315.67,326.13,95305965.0,1501176459.0
2020-02-17,328.8,330.23,318.75,322.85,98722390.0,1550241006.0
2020-02-18,319.16,322.44,316.08,317.93,75872057.0,1175808592.0
2020-02-19,317.1,320.8,314.23,317.52,58011333.0,900330215.0
2020-02-20,316.08,321.21,315.87,320.8,82978441.0,1288806125.0
2020-02-21,319.98,320.8,311.77,314.44,84402343.0,1296802106.0
2020-02-24,313.41,314.03,304.59,309.52,84240473.0,1266271856.0
2020-02-25,308.7,318.54,308.28,313.0,95768234.0,1463990944.0
2020-02-26,309.72,337.62,308.28,327.98,214158722.0,3422389039.0
2020-02-27,329.0,331.26,322.44,324.69,99061490.0,1578365892.0
2020-02-28,322.03,337.82,320.39,332.08,160963034.0,2605740695.0
2020-03-02,336.59,348.9,336.39,342.33,179390473.0,3013621421.0
2020-03-03,344.38,346.64,333.1,340.69,147133654.0,2421028582.0
2020-03-04,343.56,355.87,336.59,344.8,160972054.0,2729215015.0
2020-03-05,342.54,352.18,338.44,349.51,114883552.0,1935314066.0
2020-03-06,344.8,346.64,336.39,338.23,87520562.0,1448290707.0
2020-03-09,332.08,335.98,324.9,331.67,84757998.0,1366300940.0
2020-03-10,334.13,340.49,327.16,336.18,71118841.0,1160198084.0
2020-03-11,337.41,341.72,331.87,333.31,74638194.0,1225472022.0
2020-03-12,330.44,339.26,326.75,336.18,70934634.0,1153011471.0
2020-03-13,320.59,333.31,315.87,330.44,91755412.0,1449691566.0
2020-03-16,329.41,329.62,312.18,313.62,100658885.0,1566768466.0
2020-03-17,312.8,319.57,305.21,309.52,87532699.0,1318711214.0
2020-03-18,308.9,311.98,295.36,295.77,91866719.0,1361646189.0
2020-03-19,291.67,297.41,274.85,287.16,104088956.0,1448798706.0
