date,open,high,low,close,volume,turnover
2020-01-02,48.6,49.4,48.42,49.09,15934570.0,765516493.0
2020-01-03,49.12,49.93,48.59,48.96,12993607.0,628361961.0
2020-01-06,48.3,50.13,48.09,49.2,16987138.0,822172473.0
2020-01-07,49.24,49.43,48.68,48.97,9340058.0,449013436.0
2020-01-08,48.46,49.28,48.05,48.19,11097445.0,529249404.0
2020-01-09,48.66,49.12,48.29,48.56,8921700.0,425352463.0
2020-01-10,48.57,48.57,47.5,47.82,10929463.0,512929719.0
2020-01-13,52.6,52.6,51.48,52.6,51882759.0,2662873915.0
2020-01-14,56.05,57.06,54.01,54.46,61497596.0,3356918725.0
2020-01-15,55.04,55.8,53.28,54.33,29870523.0,1594534514.0
2020-01-16,54.51,55.58,52.77,55.13,33573707.0,1778235678.0
2020-01-17,54.89,60.64,54.22,59.06,53060038.0,3022542423.0
2020-01-20,58.4,61.05,57.58,59.89,30077562.0,1742179867.0
2020-01-21,58.83,58.84,57.63,57.81,20383657.0,1161444871.0
2020-01-22,57.58,61.66,57.17,60.4,32797995.0,1927419434.0
2020-01-23,59.1,63.06,58.61,60.98,29158496.0,1735366428.0
2020-02-03,54.88,55.52,54.88,54.88,10039800.0,540735186.0
2020-02-04,55.03,58.6,55.03,57.44,36777530.0,2057907669.0
2020-02-05,58.8,63.19,58.08,61.97,44623025.0,2698234965.0
2020-02-06,59.57,62.02,59.52,61.91,30113181.0,1792085753.0
2020-02-07,61.9,61.9,57.74,59.01,32128159.0,1868897083.0
2020-02-10,60.33,64.57,59.98,62.1,35279646.0,2143782477.0
2020-02-11,61.15,61.27,59.4,60.17,19617574.0,1162310506.0
2020-02-12,60.17,61.76,59.47,60.32,19745556.0,1171671705.0
2020-02-13,59.62,61.28,58.6,58.65,23694703.0,1387055830.0
2020-02-14,58.66,59.01,57.52,57.99,21117383.0,1205977325.0
2020-02-17,58.0,59.68,58.0,59.6,20988900.0,1215249655.0
2020-02-18,58.91,61.15,58.88,60.61,22836532.0,1350970759.0
2020-02-19,65.7,65.71,62.84,63.1,43747653.0,2773613068.0
2020-02-20,64.38,69.4,64.32,69.4,64939094.0,4366081680.0
2020-02-21,68.28,69.58,66.94,68.79,45518916.0,3046190981.0
2020-02-24,66.67,68.43,66.2,67.47,35796879.0,2351741647.0
2020-02-25,65.63,73.57,65.4,72.21,40743409.0,2786635361.0
2020-02-26,71.12,77.25,70.32,73.07,52276832.0,3774510844.0
2020-02-27,73.05,74.55,69.38,71.39,27269996.0,1912686987.0
2020-02-28,67.94,70.31,66.19,66.62,33825352.0,2251947903.0
2020-03-02,66.86,68.52,65.23,68.13,22564321.0,1492112198.0
2020-03-03,71.14,71.54,68.75,69.17,27425292.0,1880749812.0
2020-03-04,68.23,69.1,65.96,67.85,18093253.0,1198529240.0
