date,open,high,low,close,volume,turnover
2020-01-02,606.16,608.54,597.15,602.59,101425488.0,3592989150.0
2020-01-03,623.67,641.85,615.34,621.29,179084129.0,6617433903.0
2020-01-06,612.79,631.83,610.24,623.84,113853756.0,4180052105.0
2020-01-07,623.84,627.24,613.13,622.14,82303154.0,3001279953.0
2020-01-08,617.55,626.9,606.16,607.01,82053043.0,2970790426.0
2020-01-09,617.38,635.06,617.38,629.28,97329703.0,3594667710.0
2020-01-10,633.19,652.39,629.28,635.06,101287510.0,3811908454.0
2020-01-13,640.49,645.25,632.0,645.25,80588354.0,3032049774.0
2020-01-14,644.06,644.23,622.82,624.01,111581615.0,4143449032.0
2020-01-15,620.44,630.3,613.81,627.58,78088259.0,2856797074.0
2020-01-16,634.55,652.9,633.87,635.91,103244359.0,3906202607.0
2020-01-17,641.34,668.88,641.34,660.21,132188178.0,5098834405.0
2020-01-20,657.83,681.63,652.9,680.95,107407515.0,4237941063.0
2020-01-21,671.43,680.95,655.62,656.3,94271570.0,3692646968.0
2020-01-22,652.39,698.8,650.86,690.98,109041573.0,4318263070.0
2020-01-23,679.08,688.43,651.03,665.82,111597708.0,4404784398.0
2020-02-03,599.19,632.51,599.19,610.41,180212366.0,6430335667.0
2020-02-04,620.78,657.15,620.78,652.22,134812484.0,5100691858.0
2020-02-05,657.83,667.18,640.15,649.33,125489548.0,4823844316.0
2020-02-06,644.23,672.96,638.45,666.67,107615505.0,4186464226.0
2020-02-07,660.89,668.2,644.4,661.74,96320182.0,3734321100.0
2020-02-10,655.28,692.51,651.2,681.97,102856136.0,4098782481.0
2020-02-11,684.86,695.23,673.13,680.1,72843758.0,2918951697.0
2020-02-12,675.68,685.03,669.39,682.31,81383347.0,3247679345.0
2020-02-13,675.0,689.28,664.46,675.0,92112139.0,3663446783.0
2020-02-14,672.28,682.82,663.95,670.92,85995275.0,3407317086.0
2020-02-17,683.33,737.89,674.49,732.97,181386839.0,7560935080.0
2020-02-18,728.38,739.93,715.8,739.93,128644050.0,5529175316.0
2020-02-19,739.25,782.77,736.53,742.48,132712686.0,5925188050.0
2020-02-20,749.96,766.62,743.16,757.95,108815025.0,4846551324.0
2020-02-21,764.92,791.27,753.87,774.27,119112564.0,5439103567.0
2020-02-24,802.32,851.78,802.32,851.78,139844618.0,6827689373.0
2020-02-25,861.81,936.77,834.1,936.77,276855333.0,14493485801.0
2020-02-26,909.41,916.72,858.41,866.06,206819148.0,10808449383.0
2020-02-27,869.46,894.79,835.97,875.07,158842568.0,8155705832.0
2020-02-28,822.72,866.91,822.72,849.91,153674147.0,7666233579.0
2020-03-02,883.91,934.9,858.41,928.11,227384795.0,12128049540.0
2020-03-03,963.8,963.8,892.41,899.89,243903080.0,13348431665.0
2020-03-04,883.57,900.57,834.61,873.03,180091000.0,9184633355.0
2020-03-05,909.41,912.13,873.37,882.38,163087649.0,8550149341.0
2020-03-06,858.75,872.01,850.25,864.53,96545533.0,4895831044.0
2020-03-09,849.91,907.54,844.81,867.08,156308142.0,8079437696.0
2020-03-10,858.41,922.84,832.57,920.63,217168479.0,11255340340.0
2020-03-11,921.31,956.83,890.71,892.07,173902036.0,9425694884.0
2020-03-12,869.12,884.93,850.08,874.05,125009525.0,6368247612.0
2020-03-13,838.01,882.38,832.91,863.34,129749378.0,6530739505.0
2020-03-16,805.04,827.82,776.99,776.99,308766343.0,14317596573.0
2020-03-17,775.29,775.29,699.31,706.28,307223565.0,13032991157.0
2020-03-18,712.23,719.88,659.53,664.63,254215291.0,10389408827.0
2020-03-19,656.98,727.7,641.68,709.68,275212830.0,10982567335.0
2020-03-20,714.27,719.03,683.33,711.89,173966086.0,7219118197.0
2020-03-23,680.1,718.69,674.83,694.04,124640304.0,5122461049.0
2020-03-24,712.57,723.79,682.31,723.28,157630764.0,6571071475.0
2020-03-25,745.88,767.47,739.59,762.37,186266540.0,8244746052.0
2020-03-26,748.09,752.34,729.23,732.63,115142723.0,5031268774.0
2020-03-27,747.75,754.38,734.49,737.55,90785870.0,3978881167.0
2020-03-30,721.75,737.04,694.55,726.51,111588770.0,4683275251.0
2020-03-31,739.42,754.72,715.29,727.53,118065760.0,5087554574.0
2020-04-01,713.93,738.4,703.39,705.09,121434131.0,5136785198.0
2020-04-02,705.6,730.93,703.73,725.83,123741843.0,5203971266.0
2020-04-03,710.53,712.91,694.38,696.42,147845212.0,6096838938.0
2020-04-07,710.53,713.42,700.33,708.83,124716306.0,5190976557.0
2020-04-08,702.03,715.46,695.23,699.14,113841498.0,4717627099.0
2020-04-09,704.24,713.42,698.12,698.97,87098974.0,3605600542.0
2020-04-10,690.98,693.53,663.44,667.86,131575950.0,5209234503.0
2020-04-13,659.53,664.12,646.95,654.43,70426121.0,2712902770.0
2020-04-14,658.0,671.94,658.0,671.94,81461565.0,3187464206.0
2020-04-15,676.53,686.73,666.33,671.26,88796157.0,3528915056.0
2020-04-16,664.63,670.24,657.83,666.33,59210410.0,2315245196.0
2020-04-17,678.23,695.06,676.87,679.93,122803927.0,4943989869.0
2020-04-20,682.65,703.9,682.48,691.83,88439948.0,3606247229.0
2020-04-21,685.54,690.64,678.23,686.39,66459725.0,2670770545.0
2020-04-22,680.44,690.13,678.23,690.13,48070694.0,1933778096.0
2020-04-23,696.93,698.46,678.4,679.42,54811472.0,2207104242.0
2020-04-24,679.42,685.03,653.58,660.38,88012352.0,3436671908.0
2020-04-27,671.43,672.96,659.36,660.38,58163720.0,2273854307.0
2020-04-28,656.64,666.5,637.43,665.65,82366072.0,3176893627.0
2020-04-29,661.06,664.63,657.15,658.51,50623547.0,1965877411.0
2020-04-30,665.48,706.79,665.14,698.46,153884625.0,6240069993.0
2020-05-06,688.43,713.76,685.88,712.57,113542322.0,4686927589.0
2020-05-07,737.89,759.48,717.16,717.5,150144386.0,6496280806.0
2020-05-08,725.66,730.59,715.63,722.26,90465383.0,3858466383.0
2020-05-11,726.68,736.02,721.75,731.61,81382617.0,3494534674.0
2020-05-12,729.06,729.23,705.09,717.67,77251351.0,3252571473.0
2020-05-13,708.83,714.78,705.26,709.85,53345225.0,2226332851.0
2020-05-14,705.43,708.66,690.13,691.49,78541166.0,3218147331.0
2020-05-15,694.72,705.94,686.73,699.82,79678643.0,3272900748.0
2020-05-18,698.63,703.05,662.59,683.5,84983493.0,3418298914.0
2020-05-19,690.13,695.57,680.78,687.24,63058974.0,2550247074.0
2020-05-20,685.03,693.53,677.55,687.58,61308597.0,2469643000.0
2020-05-21,691.83,692.68,663.44,668.03,84448800.0,3348338130.0
2020-05-22,662.93,667.35,647.97,652.39,65442615.0,2529560486.0
2020-05-25,645.93,646.78,625.2,630.3,86372927.0,3227462521.0
2020-05-26,634.21,639.81,631.32,637.94,59240860.0,2212816413.0
2020-05-27,638.11,639.81,627.58,628.94,49485778.0,1837495897.0
2020-05-28,628.94,628.94,601.74,617.04,88970384.0,3217579636.0
2020-05-29,611.94,619.76,606.67,612.79,60225579.0,2172687234.0
2020-06-01,624.18,660.89,622.14,655.28,122096394.0,4624469623.0
2020-06-02,657.83,662.42,647.29,656.81,79423424.0,3058778437.0
2020-06-03,657.49,672.62,651.03,657.83,89588885.0,3485302990.0
2020-06-04,661.23,664.29,649.33,650.01,52131699.0,2004581636.0
2020-06-05,650.35,653.07,644.06,648.82,43907009.0,1674833775.0
2020-06-08,655.11,673.3,655.11,661.57,81413828.0,3191809265.0
2020-06-09,661.91,664.29,654.6,658.68,46386032.0,1794972231.0
2020-06-10,658.68,658.68,647.29,655.11,47506154.0,1824094633.0
2020-06-11,654.43,662.42,647.8,650.69,61152872.0,2356540572.0
2020-06-12,630.98,654.94,629.45,649.33,66249882.0,2506210730.0
2020-06-15,645.08,653.58,637.6,638.96,60902533.0,2307192395.0
2020-06-16,659.53,682.48,655.45,682.48,169531920.0,6703478749.0
2020-06-17,682.82,682.82,667.52,675.68,93917259.0,3726699471.0
2020-06-18,676.53,739.76,668.88,720.39,214149998.0,8929561303.0
2020-06-19,721.92,751.15,712.23,728.72,184045023.0,7917249638.0
2020-06-22,708.83,724.13,705.43,717.16,153887420.0,6460308813.0
2020-06-23,706.28,707.3,672.62,677.04,195350803.0,7854459680.0
2020-06-24,674.49,686.73,673.13,675.0,79755329.0,3181902563.0
2020-06-29,671.6,678.4,663.27,666.33,62195875.0,2446002740.0
2020-06-30,673.13,691.49,673.13,682.14,97599823.0,3919900908.0
2020-07-01,681.8,689.45,665.31,675.68,99326933.0,3949537546.0
2020-07-02,663.78,689.45,654.94,688.43,144719348.0,5746257716.0
2020-07-03,689.28,729.06,681.46,720.9,180184443.0,7474245760.0
2020-07-06,728.38,768.32,723.45,758.8,200160328.0,8793762447.0
2020-07-07,768.66,806.91,754.89,770.87,207184868.0,9518596595.0
2020-07-08,770.02,784.64,753.19,782.77,147082257.0,6669789217.0
2020-07-09,793.31,813.88,778.69,800.96,162708354.0,7629570275.0
2020-07-10,789.57,793.14,763.22,763.9,153542666.0,7012458247.0
2020-07-13,759.99,784.81,749.45,784.81,141933549.0,6432430177.0
2020-07-14,781.92,781.92,750.13,761.52,121279658.0,5458933973.0
2020-07-15,761.52,768.32,726.17,726.17,121368767.0,5283047596.0
2020-07-16,726.17,735.68,674.49,681.12,134058819.0,5557260693.0
2020-07-17,681.29,690.13,671.6,685.54,83289889.0,3336568486.0
2020-07-20,689.79,703.05,678.23,701.01,84027146.0,3424632854.0
2020-07-21,703.73,706.96,691.32,696.59,63971694.0,2626535316.0
2020-07-22,697.27,716.31,690.81,703.73,83284128.0,3464655732.0
2020-07-23,689.79,694.21,662.25,675.17,160913800.0,6377794182.0
2020-07-24,668.03,671.94,639.98,644.57,113542186.0,4377078689.0
2020-07-27,644.91,653.58,640.49,650.69,68475184.0,2608996038.0
2020-07-28,655.96,659.53,646.95,652.39,49385746.0,1897284991.0
2020-07-29,652.73,672.79,648.31,672.11,77631113.0,3038707563.0
2020-07-30,675.0,675.51,660.89,661.4,55869686.0,2183069900.0
2020-07-31,661.23,674.49,660.21,665.82,63501687.0,2490647039.0
2020-08-03,666.33,672.62,661.57,671.43,104043161.0,4083781083.0
2020-08-04,672.45,674.83,656.3,660.89,90801847.0,3538177892.0
2020-08-05,671.43,673.13,658.0,665.31,81033393.0,3173785742.0
2020-08-06,663.44,663.44,649.84,658.0,73208729.0,2826912058.0
2020-08-07,659.53,671.26,650.69,661.23,79990074.0,3113358595.0
