date,open,high,low,close,volume,turnover
2020-01-02,188.89,194.3,188.84,193.11,82624452.0,3191180650.0
2020-01-03,193.46,196.78,193.31,195.69,52010611.0,2045230273.0
2020-01-06,194.65,199.47,193.21,194.9,54887720.0,2171575505.0
2020-01-07,196.44,198.37,194.2,194.45,34767128.0,1369304771.0
2020-01-08,193.46,193.46,190.77,190.77,36323418.0,1403861101.0
2020-01-09,192.91,193.7,191.62,193.21,30335989.0,1177003661.0
2020-01-10,193.21,195.09,192.46,193.9,28593121.0,1116903172.0
2020-01-13,195.09,195.09,192.46,194.2,32780852.0,1279073028.0
2020-01-14,194.4,196.83,192.21,192.76,33564638.0,1314430602.0
2020-01-15,192.91,193.16,188.84,189.33,48859891.0,1870048774.0
2020-01-16,189.83,190.48,187.54,188.54,45384826.0,1723277982.0
2020-01-17,189.03,189.58,187.15,188.39,42135711.0,1595789849.0
2020-01-20,189.83,191.97,188.74,190.28,58580886.0,2244268938.0
2020-01-21,188.49,189.48,187.25,187.69,41720185.0,1580332561.0
2020-01-22,187.25,189.23,184.52,187.84,53125460.0,2000618547.0
2020-01-23,186.4,187.25,181.04,182.83,78750274.0,2912304571.0
2020-02-03,167.88,176.32,167.88,173.99,113106226.0,3944795003.0
2020-02-04,174.04,176.22,172.25,175.57,122967652.0,4313054347.0
2020-02-05,175.53,176.37,172.99,175.62,80257198.0,2826862599.0
2020-02-06,176.32,177.96,174.48,177.56,73070159.0,2589474707.0
2020-02-07,174.33,176.12,173.89,175.92,67552464.0,2374190018.0
2020-02-10,174.48,175.03,173.59,174.33,57504178.0,2016401930.0
2020-02-11,175.33,178.06,174.58,176.67,55743628.0,1983770029.0
2020-02-12,176.32,177.11,175.03,176.82,40538973.0,1437177997.0
2020-02-13,176.47,176.57,174.83,175.18,42235080.0,1493775789.0
2020-02-14,174.88,177.36,174.88,177.02,40339677.0,1431806484.0
2020-02-17,176.97,179.65,175.72,179.65,66942541.0,2396661832.0
2020-02-18,178.8,178.8,176.82,177.31,51639665.0,1846260235.0
2020-02-19,176.82,178.26,176.12,176.47,41952131.0,1496142157.0
2020-02-20,177.11,179.05,174.83,178.7,74600588.0,2658121245.0
2020-02-21,178.31,178.46,176.17,177.02,73031468.0,2603112503.0
2020-02-24,176.27,177.26,173.99,174.08,79856482.0,2812039823.0
2020-02-25,172.89,174.23,171.35,172.0,87373432.0,3032212325.0
2020-02-26,170.91,173.79,170.11,172.99,77970475.0,2707591830.0
2020-02-27,172.79,175.57,172.35,174.93,68937853.0,2422074087.0
2020-02-28,173.09,174.73,169.86,169.86,83534097.0,2885398352.0
2020-03-02,170.06,173.24,169.37,172.59,70429063.0,2438029173.0
2020-03-03,173.49,174.33,170.96,171.95,68607306.0,2380418310.0
2020-03-04,172.25,172.84,171.06,172.74,56088606.0,1941800190.0
2020-03-05,173.79,180.39,172.84,179.95,135541300.0,4840609026.0
2020-03-06,178.01,178.9,175.87,175.87,67067378.0,2389764957.0
2020-03-09,173.24,173.24,169.76,169.76,96659166.0,3318066994.0
2020-03-10,169.81,173.54,169.27,172.25,66829810.0,2309858482.0
2020-03-11,172.64,173.79,170.91,171.1,56655064.0,1965764178.0
2020-03-12,170.71,171.8,168.97,169.66,61918002.0,2118258080.0
2020-03-13,162.91,166.68,160.92,165.94,114095770.0,3748370246.0
2020-03-16,165.84,165.84,157.15,157.3,106602730.0,3445337101.0
2020-03-17,157.2,161.97,154.52,157.6,84344133.0,2675433577.0
2020-03-18,158.34,160.33,152.78,153.08,82431704.0,2604923481.0
2020-03-19,151.39,151.39,142.6,145.58,155945747.0,4591894342.0
2020-03-20,148.01,154.52,148.01,154.17,134315310.0,4101898423.0
2020-03-23,149.05,151.54,148.41,149.8,92897116.0,2804113446.0
2020-03-24,154.71,157.2,153.03,156.5,82535893.0,2585549433.0
2020-03-25,160.08,162.31,159.78,161.37,80952655.0,2629580314.0
2020-03-26,159.43,165.99,159.23,162.51,69463585.0,2281461462.0
2020-03-27,164.5,165.54,161.32,162.51,58177545.0,1911127945.0
2020-03-30,159.83,162.51,157.94,162.16,47749415.0,1541068106.0
2020-03-31,163.51,163.8,159.73,160.33,37754006.0,1228383288.0
2020-04-01,159.53,162.16,158.94,159.58,35814313.0,1157345796.0
2020-04-02,157.69,160.63,157.5,160.63,28960147.0,929189673.0
2020-04-03,158.94,160.53,158.89,159.68,25161829.0,808697603.0
2020-04-07,163.11,163.31,160.92,161.52,43184378.0,1406732994.0
2020-04-08,161.42,161.42,159.53,160.03,31813445.0,1024956344.0
2020-04-09,160.38,160.67,159.48,160.43,28664595.0,924260480.0
2020-04-10,160.97,161.72,158.49,159.43,43743153.0,1409435238.0
2020-04-13,158.54,159.93,158.04,158.59,23055549.0,737876564.0
