date,open,high,low,close,volume,turnover
2020-01-02,957.69,982.28,940.87,973.22,75930675.0,2840896082.0
2020-01-03,978.4,997.81,960.28,964.68,53434715.0,2013648745.0
2020-01-06,957.69,1002.99,952.52,986.16,74744666.0,2847963488.0
2020-01-07,986.94,997.04,973.22,991.34,43944958.0,1671789012.0
2020-01-08,975.81,990.05,965.72,967.01,43755087.0,1649761302.0
2020-01-09,972.7,1042.85,972.7,1034.31,88643927.0,3474672205.0
2020-01-10,1043.88,1050.36,1024.21,1028.35,53165460.0,2126307360.0
2020-01-13,1035.08,1084.52,1019.81,1073.65,67372375.0,2750553113.0
2020-01-14,1086.85,1117.65,1076.5,1082.71,56472980.0,2379000336.0
2020-01-15,1081.93,1131.11,1073.91,1131.11,54516841.0,2318952839.0
2020-01-16,1112.99,1120.76,1099.02,1107.82,70486390.0,3018191667.0
2020-01-17,1105.75,1116.62,1073.91,1084.52,66854830.0,2831071596.0
2020-01-20,1082.19,1146.12,1082.19,1128.52,75604781.0,3296515631.0
2020-01-21,1125.94,1146.64,1115.58,1141.98,53139568.0,2327388187.0
2020-01-22,1125.94,1230.25,1104.71,1221.71,69512111.0,3121117788.0
2020-01-23,1190.64,1213.16,1141.47,1168.64,76007749.0,3457704680.0
2020-02-03,1051.91,1103.68,1051.91,1053.46,118427927.0,4878573721.0
2020-02-04,1076.24,1153.37,1074.43,1153.37,106587544.0,4591291646.0
2020-02-05,1143.54,1216.01,1138.88,1154.67,95085961.0,4316523326.0
2020-02-06,1146.64,1171.23,1116.88,1152.6,83235175.0,3665773840.0
2020-02-07,1136.29,1136.29,1089.7,1107.3,109728975.0,4702691453.0
2020-02-10,1074.69,1121.79,1065.89,1118.69,79636392.0,3370483356.0
2020-02-11,1112.99,1199.45,1107.82,1177.7,107309437.0,4803567238.0
2020-02-12,1164.76,1176.15,1148.2,1167.35,73276297.0,3285217324.0
2020-02-13,1164.76,1177.7,1138.88,1141.47,64339059.0,2872868682.0
2020-02-14,1129.56,1172.53,1129.56,1148.2,57153816.0,2551116065.0
2020-02-17,1150.53,1196.34,1150.01,1194.79,84544025.0,3844669788.0
2020-02-18,1190.64,1193.49,1154.41,1186.76,90573726.0,4110283542.0
2020-02-19,1168.64,1229.99,1160.88,1192.72,91199887.0,4229369375.0
2020-02-20,1215.23,1298.06,1215.23,1286.41,116017144.0,5641463119.0
2020-02-21,1265.71,1328.6,1260.01,1303.24,81722894.0,4123627846.0
2020-02-24,1294.44,1336.37,1269.59,1320.06,77649894.0,3913780283.0
2020-02-25,1280.46,1332.49,1254.06,1321.1,93691461.0,4692685351.0
2020-02-26,1289.52,1297.29,1216.79,1232.32,96056528.0,4683381282.0
2020-02-27,1232.32,1261.05,1201.77,1210.32,75894737.0,3590902254.0
2020-02-28,1210.32,1278.65,1206.17,1237.24,166878356.0,7993261447.0
2020-03-02,1242.67,1281.24,1191.16,1257.68,132561082.0,6322187428.0
2020-03-03,1295.47,1309.71,1224.81,1245.0,104822069.0,5159042660.0
2020-03-04,1237.24,1251.73,1157.0,1185.99,123317275.0,5706942417.0
2020-03-05,1206.95,1220.15,1146.9,1177.19,100589390.0,4572694593.0
2020-03-06,1159.58,1199.45,1148.45,1179.26,68579843.0,3132507444.0
2020-03-09,1145.35,1162.43,1093.58,1099.53,102180662.0,4445537254.0
